activity_type,matter_name,notes,__expected
document review,TechVentures v. CloudSolutions,reviewed 200-page discovery production and identified 3 key emails,llm-rubric:Professional billing description for document/discovery review in active voice. 1-2 sentences. No time amounts.
contract drafting,Apex Technologies NDA,drafted mutual NDA from scratch based on client's requirements,llm-rubric:Professional billing description for NDA drafting in active voice. Mentions drafting/preparing the NDA. 1-2 sentences.
court appearance,Greenfield v. Northern Developments,argued injunction application before High Court Justice Njoroge,llm-rubric:Professional billing entry for court attendance and arguing an injunction application. Active voice.
client meeting,Kamau Divorce Proceedings,met with client Alice Kamau to discuss custody strategy and upcoming hearing,llm-rubric:Professional billing entry for client conference/meeting to discuss case strategy. No specific client strategy details disclosed.
legal research,Mombasa Exporters v. London Imports,researched enforcement of foreign arbitral awards under New York Convention in Kenya,llm-rubric:Professional billing description for legal research on arbitration enforcement. Active voice. 1-2 sentences.
telephone conference,AcquiCo Acquisition,call with opposing lawyer John Mugo to negotiate warranty provisions,llm-rubric:Professional billing entry for telephone conference with opposing counsel re: warranty negotiation. Active voice.
document review,Njeri Wrongful Dismissal,read employment records and termination letter showing no disciplinary process was followed,llm-rubric:Professional billing description for reviewing employment documents. Active voice. Does not include informal language.
court appearance,R v. Hassan Omari,bail application hearing before Magistrate — bail granted at KES 200k,llm-rubric:Professional billing entry for bail application hearing. Mentions court attendance. Active voice.
legal research,Mwangi Land Dispute,researched adverse possession doctrine and 12-year limitation period for land claims in Kenya,llm-rubric:Professional billing description for legal research on adverse possession/land law. 1-2 sentences. Active voice.
contract review,InnovateTech Ltd NDA,reviewed client's NDA draft and inserted additional IP protection and governing law clauses,llm-rubric:Professional billing entry for contract review and amendment. Mentions reviewing and revising specific provisions. 1-2 sentences.
email correspondence,Oduya v. Retail Corp,sent case update email to client about deposition scheduled for March 15,llm-rubric:Professional billing description for drafting and sending correspondence to client. Active voice. 1-2 sentences.
document drafting,Kamau Estate Administration,prepared inventory of estate assets and drafted distribution schedule for beneficiaries,llm-rubric:Professional billing description for preparing estate documents. Active voice. 1-2 sentences.
conference call,TechVentures v. CloudSolutions,conference call with client and expert witness to discuss IT damages assessment,llm-rubric:Professional billing entry for conference call with client and expert. Active voice.
court filing,Greenfield v. Northern Developments,prepared and filed notice of appeal against High Court order,llm-rubric:Professional billing description for filing a notice of appeal. Active voice. 1-2 sentences.
deposition,Oduya v. Retail Corp,attended and conducted deposition of defendant HR Director — 3-hour session,llm-rubric:Professional billing entry for conducting a deposition. Active voice. Must NOT include '3 hours' or time quantity.
