query,expected_facts,__expected
What is the statute of limitations for a written contract breach in California?,"4 years under California Code of Civil Procedure section 337",contains:4
What is the statute of limitations for a written contract breach in Kenya?,The Limitation of Actions Act Cap 22 provides 6 years for contract claims in Kenya,contains:6
What are the GDPR fine tiers?,"Tier 1: up to €10M or 2% of global annual turnover. Tier 2: up to €20M or 4% of global annual turnover",contains:4%
What is IOLTA?,"Interest on Lawyers Trust Accounts — client funds held in trust earn interest which is remitted to state legal aid funds",icontains:trust
What is the meaning of force majeure in contract law?,"A clause that excuses a party from performance when extraordinary events beyond their control prevent them from fulfilling their obligations",llm-rubric:Accurately explains force majeure as an excusing condition for extraordinary events beyond a party's control
What is attorney-client privilege?,"A legal protection that keeps communications between a lawyer and their client confidential and protects them from compelled disclosure in legal proceedings",llm-rubric:Correctly describes attorney-client privilege as protecting confidential communications between lawyer and client from disclosure
What is the New York Convention on arbitration?,"The 1958 United Nations Convention on the Recognition and Enforcement of Foreign Arbitral Awards — allows arbitral awards to be enforced in 170+ signatory countries",contains:1958
What does 'discovery' mean in civil litigation?,"The pre-trial phase where parties exchange information and evidence relevant to the lawsuit, including documents, depositions, interrogatories, and admissions",llm-rubric:Correctly describes discovery as pre-trial evidence exchange between parties
What is an injunction?,"A court order requiring a party to do or refrain from doing a specific act, either temporarily (interim) or permanently",llm-rubric:Correctly defines injunction as a court order to act or stop acting
What is a consent order?,"A court order made with the agreement of all parties, typically settling a dispute without a full trial",llm-rubric:Describes consent order as a court order agreed to by all parties
What does LR number mean in Kenyan land law?,"Land Reference number — a unique identifier assigned to a registered piece of land in Kenya's land registry system",icontains:land
What is the Kenya Employment Act 2007 minimum notice period for employees employed for more than 5 years?,"28 days (4 weeks) written notice under Section 36 of the Employment Act",contains:28
What is an NDA?,A Non-Disclosure Agreement — a contract in which one or more parties agree to keep specified information confidential and not disclose it to third parties,icontains:confidential
What does pro bono mean?,"From Latin 'pro bono publico' — legal work done voluntarily and without payment for the benefit of the public or for clients who cannot afford legal fees",llm-rubric:Correctly explains pro bono as free legal work done in the public interest
What is a retainer in legal billing?,"An advance payment made to a law firm, held in trust, and drawn down as fees are earned",llm-rubric:Correctly describes retainer as upfront payment held in trust and applied against earned fees
What is a statute of limitations?,"A law that sets the maximum time period within which legal proceedings must be brought after an event — claims brought after this period are time-barred",llm-rubric:Correctly defines statute of limitations as a deadline for bringing legal claims
What is adverse possession?,"A legal doctrine by which a person who has occupied another's land for a sufficient period of time (openly, continuously, and exclusively) may acquire legal title to that land",llm-rubric:Correctly describes adverse possession as acquiring ownership through long-term open occupation
What is the difference between litigation and arbitration?,"Litigation is a court-based dispute resolution process. Arbitration is a private, binding dispute resolution process where a neutral third party (arbitrator) hears evidence and makes a decision",llm-rubric:Correctly distinguishes litigation (court) from arbitration (private binding process)
What is a class action lawsuit?,"A lawsuit filed by one or more plaintiffs on behalf of a large group of people with similar claims against the same defendant",llm-rubric:Correctly defines class action as a representative lawsuit for a group with similar claims
What is the LCIA?,"The London Court of International Arbitration — one of the world's leading international arbitration institutions, providing arbitration rules and administrative services for cross-border disputes",icontains:arbitration
