clause_text,clause_type,expected_issues,__expected
"The Seller shall deliver the goods within 30 days of the date of this Agreement. Time is of the essence.",delivery,time is of the essence - strict compliance required,llm-rubric:Identifies the delivery obligation (30 days) and correctly flags 'time is of the essence' as making strict compliance critical
"Either party may terminate this Agreement immediately upon written notice if the other party is in material breach and such breach remains uncured for 30 days after notice.",termination for cause,30-day cure period before termination right arises,llm-rubric:Correctly identifies: (1) termination requires material breach, (2) 30-day cure period must expire, (3) written notice requirement
"Neither party shall be liable for any indirect, consequential, special, incidental, or punitive damages arising under this Agreement, however caused.",limitation of liability,broad exclusion - may not exclude liability for fraud or personal injury in some jurisdictions,llm-rubric:Identifies this as a broad limitation of liability clause excluding consequential/indirect damages. Flags that some jurisdictions limit the enforceability of such clauses.
"All disputes arising out of or in connection with this Agreement shall be finally settled under the Rules of Arbitration of the International Chamber of Commerce by three arbitrators appointed in accordance with the said Rules. The seat of arbitration shall be Singapore.",dispute resolution - ICC arbitration,ICC arbitration Singapore seat - 3-arbitrator panel increases cost,llm-rubric:Correctly identifies ICC arbitration, Singapore seat, 3-arbitrator panel. Notes cost implications of 3-arbitrator ICC.
"This Agreement shall be automatically renewed for successive one-year terms unless either party provides written notice of non-renewal at least 90 days before the end of the then-current term.",auto-renewal,90-day notice window is narrow - easy to miss and be locked in for another year,llm-rubric:Identifies auto-renewal mechanism, 90-day notice requirement, and the risk of missing the notice window.
"The Licensor grants the Licensee a non-exclusive, non-transferable, worldwide license to use the Software solely for the Licensee's internal business purposes.",software license,non-exclusive non-transferable license - no sublicensing permitted,llm-rubric:Identifies non-exclusive non-transferable scope. Notes no sublicensing and internal-use-only restriction.
"All intellectual property created by the Consultant in connection with this Agreement shall be deemed work for hire and shall vest absolutely in the Client.",IP assignment,broad IP assignment - consultant loses all rights to work product,llm-rubric:Identifies this as a comprehensive work-for-hire and IP assignment clause. Flags that the consultant loses all rights to created work product.
"The Employee agrees not to engage in any business activity that competes with the Employer's business within the Republic of Kenya for a period of 24 months following termination.",non-compete,24-month national non-compete - may be challenged as unreasonably broad under Kenyan law,llm-rubric:Identifies the 24-month Kenya-wide non-compete. Flags potential enforceability concerns (scope and duration) under Kenyan courts' reasonableness test.
"In the event of any conflict between this Agreement and any purchase order or other document submitted by Buyer, this Agreement shall prevail.",order of precedence,Agreement prevails over purchase orders - important for multi-document transactions,llm-rubric:Correctly identifies this as an order of precedence clause establishing the Agreement's supremacy over purchase orders.
"The Tenant shall not make any structural alterations to the Premises without the prior written consent of the Landlord, which consent shall not be unreasonably withheld.",alterations,landlord consent required but must not be unreasonably withheld - protects tenant,llm-rubric:Identifies the alteration restriction AND the qualification that consent cannot be unreasonably withheld (a tenant protection).
